movieId,title,genres
94439,Jumping the Broom (2011),Comedy
101640,Don (2006),Action|Crime|Musical
5526,"Isle, The (Seom) (2000)",Drama
4113,"Glass Menagerie, The (1987)",Drama
106002,Ender's Game (2013),Action|Adventure|Sci-Fi|IMAX
140387,Missing Pieces (2000),(no genres listed)
5390,CQ (2001),Drama
90430,Carnage (2011),Comedy|Drama
93801,Answers to Nothing (2011),Drama|Mystery
84173,Ca$h (2008),Action|Comedy|Crime|Thriller
113323,Blade on the Feather (Deep Cover) (1980),Mystery
8153,Lust for Life (1956),Drama
100229,"Psychopath, The (1966)",Horror|Mystery
46008,Sister Kenny (1946),Drama
105011,"Story of Maths, The (2008)",Documentary
86513,Crimes of Fashion (2004),Comedy
1861,Junk Mail (Budbringeren) (1997),Comedy|Thriller
126723,Kenny Begins (2009),Action|Comedy|Sci-Fi
3691,Private School (1983),Comedy
111445,"Doll Squad, The (1973)",Action|Thriller
112818,"Purge: Anarchy, The (2014)",Action|Horror|Thriller
95182,Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),Action|Adventure|Animation|Sci-Fi
1911,Dr. Dolittle (1998),Comedy
83819,Plymouth Adventure (1952),Adventure|Drama|Romance
36,Dead Man Walking (1995),Crime|Drama
42725,Grandma's Boy (2006),Comedy
144586,Parallel Life (2010),Action|Drama|Mystery|Thriller
60289,Kit Kittredge: An American Girl (2008),Children|Comedy|Drama|Mystery
26484,Sugar Cane Alley (Rue cases nègres) (1983),Drama
4458,Africa: The Serengeti (1994),Documentary|IMAX
4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller
340,"War, The (1994)",Adventure|Drama|War
5712,Blow Out (1981),Mystery|Thriller
718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
140303,Zaytoun (2012),Adventure|Drama|Thriller|War
148853,Beltracchi - The Art of the Forgery (2014),Crime|Documentary
80748,Alice in Wonderland (1933),Adventure|Children|Fantasy
68246,Fraternity Demon (1992),Comedy
106642,"Day of the Doctor, The (2013)",Adventure|Drama|Sci-Fi
6423,Straight Talk (1992),Comedy
125345,Un Piede in paradiso (1991),Comedy
5444,Lilo & Stitch (2002),Adventure|Animation|Children|Sci-Fi
44392,Stranger on the Third Floor (1940),Drama|Film-Noir
118268,Borrowed Time (2012),Drama
26125,"Spider Baby or, The Maddest Story Ever Told (Spider Baby) (1968)",Comedy|Horror
1472,City of Industry (1997),Crime|Thriller
80363,Resident Evil: Afterlife (2010),Action|Horror|Sci-Fi|Thriller|IMAX
4205,Mermaids (1990),Comedy|Drama|Romance
66252,Canyon Passage (1946),Action|Romance|Western
71442,"Plaisir, Le (1952)",Comedy|Drama
124502,Have I the Right To Kill (1964),Crime|Drama
120126,Beauty Day (2011),Documentary
1428,Angel Baby (1995),Drama
5303,Joe Versus the Volcano (1990),Comedy|Romance
139517,One Missed Call 2 (2005),Horror|Thriller
8506,Fear X (2003),Mystery|Thriller
74144,Crime and Punishment (1935),Drama
4903,In the Bedroom (2001),Drama
110826,Brick Mansions (2014),Action|Crime|Drama
5620,Sweet Home Alabama (2002),Comedy|Romance
134501,The Bonesetter (2004),(no genres listed)
112338,Anita (2013),Documentary
121099,101 Dalmatians II: Patch's London Adventure (2003),Animation|Children
75994,"Buccaneer, The (1958)",Adventure|Drama|Romance|War
874,Killer: A Journal of Murder (1995),Crime|Drama
130320,Dyke Hard (2014),Comedy
27003,Beowulf (1999),Action|Horror|Sci-Fi
5688,Tully (2000),Drama
48600,One Night with the King (2006),Drama
79636,"Inner Life of Martin Frost, The (2007)",Comedy|Drama
78413,Bless the Beasts & Children (1971),Drama
140649,Csinibaba (1997),Comedy
48833,Jade Warrior (Jadesoturi) (2006),Action|Adventure|Drama
82751,From B Movie to Cult Film: Western (2005),Adventure|Documentary
41824,Address Unknown (2001),Drama|War
139647,Lee Rock (1991),Action|Crime|Drama
123219,The Adventures of Tartu (1943),Drama|Romance|Thriller|War
150393,Chronicle of a Blood Merchant (2015),Drama|Romance
1503,8 Heads in a Duffel Bag (1997),Comedy
1865,Wild Man Blues (1997),Documentary
4924,Anzio (1968),War
103103,"Witches, The (aka Devil's Own, The) (1966)",Horror
8486,Bachelor Mother (1939),Comedy|Romance
65667,Punk's Not Dead (2007),Documentary
136776,Fishing Naked (2015),Comedy
109912,Blind Faith (1998),Drama
3395,Nadine (1987),Comedy
138360,Sorelle Mai (2011),Drama
6561,"Mouse That Roared, The (1959)",Comedy|War
120586,Go for It! (2011),Drama|Musical
41596,Where Were You When the Lights Went Out? (1968),Comedy
136574,Fracture (2010),Drama
100272,Snow White (Blancanieves) (2012),Drama
48416,School for Scoundrels (2006),Comedy|Crime
136481,Pluto's Blue Note (1947),(no genres listed)
92,Mary Reilly (1996),Drama|Horror|Thriller
1951,Oliver! (1968),Drama|Musical
78184,The Black Rose (1950),Adventure
80498,Some Days Are Better Than Others (2010),Drama
148814,Stranded (2015),Drama
44022,Ice Age 2: The Meltdown (2006),Adventure|Animation|Children|Comedy
77414,"Last Song, The (2010)",Drama|Romance
97650,Greystone Park (2012),Horror
26246,Johnny Got His Gun (1971),Drama|War
124170,Southie (1999),Action|Drama|Thriller
107860,Easy Wheels (1989),Action|Comedy
131206,Calling Dr. Kildare (1939),Drama
103286,Shark Alarm at Müggelsee (Hai Alarm am Müggelsee) (2013),Comedy
65227,Dr. Jack (1922),Comedy
4669,Stepfather II (1989),Horror|Thriller
144360,The Midnight After (2014),Comedy|Sci-Fi|Thriller
92756,Hearts of the West (1975),Comedy|Western
143504,Karachi se Lahore (2015),Children|Comedy
101692,Besa (Solemn Promise) (2009),Drama|Romance|War
132579,Mardock Scramble: The Third Exhaust (2012),Animation|Sci-Fi
88493,Eternally Yours (1939),Comedy|Drama
85689,Otaku (1994),Documentary
8791,Beyond Hypothermia (Sip si 32 doe) (1996),Action|Drama|Thriller
76066,Cookers (2001),Drama|Horror|Thriller
26052,Pickpocket (1959),Crime|Drama
151503,Bloody Reunion (2006),Horror|Mystery|Thriller
25858,"Story of the Late Chrysanthemums, The (Zangiku monogatari) (1939)",Drama
80844,Lake Mungo (2008),Drama|Mystery|Thriller
111462,"Beach Girls and the Monster, The (1965)",Horror
100882,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),Adventure|Comedy|Fantasy|Romance|IMAX
79281,Windy Day (Tuulinen päivä) (1962),Drama
149646,Tired Moonlight (2015),(no genres listed)
104372,"Cry in the Night, A (1956)",Crime|Drama|Film-Noir
72634,Hoop Realities (2007),Documentary
71878,"Stepfather, The (2009)",Horror|Thriller
96221,"See You in Hell, My Darling (Tha se do stin Kolasi, agapi mou) (1999)",Crime|Horror|Thriller
109776,Dick Figures: The Movie (2013),Action|Adventure|Animation
87,Dunston Checks In (1996),Children|Comedy
73678,Year of the Comet (1992),Action|Adventure|Comedy|Romance
151321,Toss-Up (2004),Drama
82244,13 (2010),Thriller
6902,Interstate 60 (2002),Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller
97460,"Gorilla, The (1939)",Comedy|Horror
89087,Colombiana (2011),Action|Adventure|Drama|Thriller
8795,Musa the Warrior (Musa) (2001),Action|Adventure|Drama|War
83361,"Paleface, The (1922)",Comedy
99014,Dororo (2007),Adventure|Fantasy
83978,Walt & El Grupo (2008),Documentary
454,"Firm, The (1993)",Drama|Thriller
4718,American Pie 2 (2001),Comedy
144804,Red Ball Express (1952),(no genres listed)
26515,"Last Polka, The (1985)",Comedy|Musical
26001,It's Always Fair Weather (1955),Comedy|Drama|Musical
103044,Shanghaied (1915),Comedy
52237,"Tarnished Angels, The (1958)",Drama
127484,Karen Cries on the Bus (2011),Drama
